Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os08g36970,Chr8,23384707,23385710,expressed protein
LOC_Os03g08360,Chr3,4266978,4271866,"3-ketoacyl-CoA synthase 10, putative, expressed"
LOC_Os09g23300,Chr9,13831868,13833654,"integral membrane protein, putative, expressed"
LOC_Os02g55360,Chr2,33909015,33909311,hypothetical protein
LOC_Os03g21200,Chr3,12103108,12103413,expressed protein
LOC_Os01g17330,Chr1,9967185,9969073,"eukaryotic translation initiation factor 6, putative, expressed"
LOC_Os05g35560,Chr5,21131825,21132457,expressed protein
LOC_Os06g01680,Chr6,403722,410270,expressed protein
LOC_Os03g08470,Chr3,4348670,4350541,"AP2 domain containing protein, expressed"
LOC_Os01g57210,Chr1,33050635,33058497,"katanin p80 WD40 repeat-containing subunit B1 homolog 1, putative, expressed"
LOC_Os04g53230,Chr4,31700907,31703617,"aminomethyltransferase, putative, expressed"
LOC_Os02g42800,Chr2,25730522,25732253,expressed protein
LOC_Os10g30951,Chr10,16151400,16160090,expressed protein
LOC_Os08g44240,Chr8,27849043,27856246,"AAA-type ATPase family protein, putative, expressed"
LOC_Os08g44810,Chr8,28141042,28146270,"lactate/malate dehydrogenase, putative, expressed"
LOC_Os12g41170,Chr12,25508617,25516954,"SEY1, putative, expressed"
LOC_Os03g10880,Chr3,5589561,5592525,"BTBN5 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
LOC_Os08g03710,Chr8,1759802,1760399,expressed protein
LOC_Os09g36880,Chr9,21270652,21272588,"GDSL-like lipase/acylhydrolase, putative, expressed"
LOC_Os09g31170,Chr9,18749301,18752790,expressed protein
LOC_Os04g23600,Chr4,13511701,13514548,"D-mannose binding lectin family protein, expressed"
LOC_Os09g25010,Chr9,14945845,14948896,expressed protein
LOC_Os02g10680,Chr2,5622522,5622924,expressed protein
LOC_Os03g30890,Chr3,17599288,17603532,"S-locus-like receptor protein kinase, putative, expressed"
LOC_Os03g30130,Chr3,17207293,17210591,"phospholipase C, putative, expressed"
LOC_Os01g65110,Chr1,37795596,37797746,"POT family protein, expressed"
LOC_Os10g03520,Chr10,1523659,1524437,expressed protein
LOC_Os11g03270,Chr11,1202740,1208798,"nucleoside-triphosphatase, putative, expressed"
LOC_Os05g38920,Chr5,22821342,22824371,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os01g32439,Chr1,17792209,17794532,expressed protein
LOC_Os06g03099,Chr6,1143665,1144634,expressed protein
LOC_Os11g44550,Chr11,26934169,26935437,"protein kinase family protein, putative, expressed"
LOC_Os03g26650,Chr3,15224017,15225611,"heavy metal-associated domain containing protein, expressed"
LOC_Os02g41840,Chr2,25153199,25154265,"DUF584 domain containing protein, putative, expressed"
LOC_Os01g67600,Chr1,39296926,39299837,"CXE carboxylesterase, putative, expressed"
ChrUn.fgenesh.gene.56,ChrUn,362583,363394,expressed protein
LOC_Os12g05980,Chr12,2751805,2752653,"DUF584 domain containing protein, putative, expressed"
LOC_Os01g67370,Chr1,39129736,39134858,expressed protein
LOC_Os03g19760,Chr3,11104620,11122447,"HAD-superfamily hydrolase, subfamily IA, variant 3 containing protein, expressed"
LOC_Os01g39800,Chr1,22446210,22449819,"esterase, putative, expressed"
LOC_Os04g06879,Chr4,3628786,3629332,expressed protein
ChrSy.fgenesh.gene.82,ChrSy,558985,561654,expressed protein
LOC_Os12g01520,Chr12,312933,318602,"ubiquitin-activating enzyme, putative, expressed"
LOC_Os05g06920,Chr5,3626394,3629132,"relA-SpoT like protein RSH4, putative, expressed"
LOC_Os12g05870,Chr12,2696407,2697214,"Cupin domain containing protein, expressed"
LOC_Os02g54510,Chr2,33386206,33392896,"protein kinase domain containing protein, expressed"
LOC_Os02g40650,Chr2,24643393,24644058,expressed protein
LOC_Os07g02440,Chr7,838070,841354,"peroxidase precursor, putative, expressed"
LOC_Os10g25950,Chr10,13449222,13450950,"cystathionine gamma-synthase, putative, expressed"
LOC_Os09g13160,Chr9,7582402,7584640,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os01g60230,Chr1,34834372,34839824,"auxin efflux carrier component, putative, expressed"
LOC_Os04g44790,Chr4,26522976,26523540,expressed protein
LOC_Os12g38190,Chr12,23452210,23454112,"PR-domain zinc finger protein isoform 1, putative"
LOC_Os06g49600,Chr6,30023777,30024530,hypothetical protein
LOC_Os01g44310,Chr1,25417248,25425723,"dnaJ domain containing protein, expressed"
LOC_Os02g43750,Chr2,26395953,26403263,"transcription initiation factor, putative, expressed"
LOC_Os05g48480,Chr5,27790202,27791076,"FAD-binding domain-containing protein, putative, expressed"
LOC_Os01g56570,Chr1,32611406,32613200,"xylosyltransferase, putative, expressed"
LOC_Os10g07974,Chr10,4259380,4260404,expressed protein
LOC_Os08g31800,Chr8,19715508,19719680,"RGH1A, putative, expressed"
LOC_Os03g26784,Chr3,15291361,15294255,expressed protein
LOC_Os02g17410,Chr2,10016326,10016957,hypothetical protein
LOC_Os09g39370,Chr9,22638612,22640599,expressed protein
LOC_Os02g35820,Chr2,21518767,21523578,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os02g49200,Chr2,30078646,30080727,hypothetical protein
LOC_Os08g33510,Chr8,20914734,20918432,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os09g31486,Chr9,18987942,18991156,"DnaK family protein, putative, expressed"
LOC_Os03g04030,Chr3,1836607,1839781,"HVA22, putative, expressed"
LOC_Os03g58380,Chr3,33259264,33260270,"aldehyde oxidase 2, putative, expressed"
LOC_Os05g37080,Chr5,21668094,21669730,"No apical meristem protein, putative, expressed"
LOC_Os02g14980,Chr2,8358769,8362960,"calcium-binding EF hand family protein, putative, expressed"
LOC_Os03g49590,Chr3,28239396,28240049,expressed protein
LOC_Os08g42440,Chr8,26792824,26797181,"CCT/B-box zinc finger protein, putative, expressed"
LOC_Os04g43220,Chr4,25573548,25579680,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os06g27990,Chr6,15882628,15887245,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os08g01640,Chr8,374091,376752,"Rf1, mitochondrial precursor, putative, expressed"
LOC_Os04g34830,Chr4,21115829,21116594,conserved hypothetical protein
LOC_Os09g28190,Chr9,17106646,17107891,expressed protein
LOC_Os05g12474,Chr5,7161628,7168534,expressed protein
LOC_Os02g38410,Chr2,23228772,23230852,"ubiquitin family protein, putative, expressed"
LOC_Os06g04230,Chr6,1784311,1784827,expressed protein
LOC_Os02g26700,Chr2,15676223,15679689,"cation transport regulator-like protein 1, putative, expressed"
LOC_Os04g47040,Chr4,27881155,27890773,"anthocyanin regulatory Lc protein, putative, expressed"
LOC_Os01g05680,Chr1,2713412,2716075,"geranylgeranyl transferase type-1 subunit beta, putative, expressed"
LOC_Os01g12780,Chr1,7076271,7076777,expressed protein
LOC_Os03g31880,Chr3,18238256,18240730,"SHORT-ROOT, putative, expressed"
LOC_Os03g47200,Chr3,26716286,26716756,"bZIP transcription factor domain containing protein, expressed"
LOC_Os12g05730,Chr12,2643975,2645314,"bifunctional monodehydroascorbate reductase and carbonic anhydrasenectarin-3 precursor, putative, expressed"
LOC_Os05g33480,Chr5,19667435,19670420,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os06g13980,Chr6,7783652,7783927,hypothetical protein
LOC_Os05g31970,Chr5,18629300,18630170,expressed protein
LOC_Os06g44200,Chr6,26660938,26664595,"ZOS6-06 - C2H2 zinc finger protein, expressed"
LOC_Os05g31290,Chr5,18190664,18193234,"acyl carrier protein, putative, expressed"
LOC_Os09g29820,Chr9,18122580,18123465,"bZIP transcription factor domain containing protein, expressed"
LOC_Os10g10794,Chr10,5971003,5971230,hypothetical protein
LOC_Os08g10600,Chr8,6237449,6242123,"UTP--glucose-1-phosphate uridylyltransferase, putative, expressed"
LOC_Os12g01400,Chr12,260311,261030,"OsCML26 - Calmodulin-related calcium sensor protein, expressed"
LOC_Os03g01436,Chr3,304170,305342,expressed protein
LOC_Os01g21350,Chr1,11930353,11931888,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os05g07960,Chr5,4312533,4314358,"F-box protein interaction domain containing protein, expressed"
LOC_Os10g18510,Chr10,9393164,9395500,"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
LOC_Os11g41680,Chr11,25021621,25023695,"cytochrome P450, putative, expressed"
LOC_Os10g41380,Chr10,22244018,22247190,expressed protein
LOC_Os02g24740,Chr2,14355563,14356170,"OsSAUR9 - Auxin-responsive SAUR gene family member, expressed"
LOC_Os02g56810,Chr2,34817759,34819769,"OsFBX68 - F-box domain containing protein, expressed"
LOC_Os03g11800,Chr3,6174978,6175355,expressed protein
LOC_Os03g12380,Chr3,6541560,6541988,expressed protein
LOC_Os09g32870,Chr9,19594270,19597668,"OsFBX336 - F-box domain containing protein, expressed"
LOC_Os05g02530,Chr5,876950,880628,"glutathione S-transferase, N-terminal domain containing protein, expressed"
LOC_Os01g31830,Chr1,17435774,17436214,expressed protein
LOC_Os10g26140,Chr10,13543408,13552223,"CPuORF15 - conserved peptide uORF-containing transcript, expressed"
LOC_Os12g23970,Chr12,13621965,13622246,expressed protein
LOC_Os03g12810,Chr3,6871765,6875398,"maf, putative, expressed"
LOC_Os11g19470,Chr11,11210902,11211222,hypothetical protein
LOC_Os09g31090,Chr9,18687740,18694228,"HECT-domain domain containing protein, expressed"
LOC_Os09g24680,Chr9,14687748,14690180,"pentatricopeptide, putative, expressed"
LOC_Os04g32310,Chr4,19365855,19371154,"serine/threonine-protein kinase NAK, putative, expressed"
LOC_Os11g02379,Chr11,697505,702417,"LTPL6 - Protease inhibitor/seed storage/LTP family protein precursor, expressed"
LOC_Os09g30320,Chr9,18456839,18458655,"BURP domain containing protein, expressed"
LOC_Os07g12660,Chr7,7235591,7235992,expressed protein
LOC_Os01g27980,Chr1,15640318,15640638,hypothetical protein
LOC_Os04g41570,Chr4,24655105,24660071,"ethylene-responsive protein related, putative, expressed"
LOC_Os03g05570,Chr3,2776612,2777769,"RING-H2 finger protein ATL3F, putative, expressed"
LOC_Os02g38990,Chr2,23555145,23556028,expressed protein
LOC_Os11g43040,Chr11,25949488,25952239,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os06g24210,Chr6,14177863,14178186,expressed protein
LOC_Os06g48570,Chr6,29383237,29386915,"Ser/Thr protein phosphatase family protein, putative, expressed"
LOC_Os09g22280,Chr9,13470482,13472888,expressed protein
LOC_Os09g04290,Chr9,2281588,2283475,expressed protein
LOC_Os05g07690,Chr5,4136103,4139340,"thioredoxin, putative, expressed"
LOC_Os12g39440,Chr12,24273868,24275502,expressed protein
LOC_Os01g51920,Chr1,29842643,29846825,"phosphotransferase, putative, expressed"
LOC_Os10g28610,Chr10,14904196,14911781,"KIP1, putative, expressed"
LOC_Os03g12510,Chr3,6624958,6626083,"non-symbiotic hemoglobin 2, putative, expressed"
LOC_Os02g39330,Chr2,23742941,23744109,"CHIT1 - Chitinase family protein precursor, expressed"
LOC_Os04g43260,Chr4,25591244,25594230,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os11g25530,Chr11,14551265,14552547,expressed protein
LOC_Os03g22140,Chr3,12689638,12691591,"tetratricopeptide repeat domain containing protein, expressed"
LOC_Os04g56440,Chr4,33645077,33650149,"ENT domain containing protein, expressed"
LOC_Os06g12170,Chr6,6515439,6519199,expressed protein
LOC_Os01g57700,Chr1,33359442,33361794,"membrane protein, putative, expressed"
LOC_Os06g19090,Chr6,10859283,10862583,expressed protein
LOC_Os01g64720,Chr1,37551977,37556502,expressed protein
LOC_Os08g40919,Chr8,25889494,25893900,expressed protein
LOC_Os04g55899,Chr4,33287157,33287369,hypothetical protein
LOC_Os05g45580,Chr5,26413638,26416361,expressed protein
LOC_Os01g47740,Chr1,27303111,27312308,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os08g14610,Chr8,8784440,8793976,"DRD1, putative, expressed"
LOC_Os04g10160,Chr4,5484768,5486773,"cytochrome P450, putative, expressed"
LOC_Os01g07650,Chr1,3682143,3682364,expressed protein
LOC_Os12g16210,Chr12,9274091,9276999,"zinc finger family protein, putative, expressed"
LOC_Os12g25650,Chr12,14847608,14848665,hypothetical protein
LOC_Os01g58470,Chr1,33803154,33805393,expressed protein
LOC_Os07g03200,Chr7,1255307,1255668,"phytosulfokines precursor, putative, expressed"
LOC_Os08g43470,Chr8,27497190,27501389,"ER lumen protein retaining receptor, putative, expressed"
LOC_Os11g03200,Chr11,1162136,1164910,"EMB2748, putative, expressed"
LOC_Os06g26340,Chr6,15414829,15423582,"CGMC_MAPKCMGC_2.10 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
LOC_Os02g11930,Chr2,6183112,6187830,"receptor-like protein kinase precursor, putative, expressed"
LOC_Os11g34080,Chr11,19939598,19940629,expressed protein
LOC_Os07g09640,Chr7,5120622,5121029,expressed protein
LOC_Os01g12100,Chr1,6587146,6587940,expressed protein
LOC_Os05g34780,Chr5,20636382,20643355,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
LOC_Os10g28680,Chr10,14960578,14962880,"DUF581 domain containing protein, expressed"
LOC_Os09g23725,Chr9,14102039,14103804,expressed protein
LOC_Os01g45790,Chr1,26009652,26010584,hypothetical protein
LOC_Os07g49130,Chr7,29428422,29428769,expressed protein
LOC_Os07g39300,Chr7,23527252,23535485,expressed protein
LOC_Os03g04390,Chr3,2014777,2018323,"pentatricopeptide, putative, expressed"
LOC_Os05g01700,Chr5,421032,431736,"ABC transporter, ATP-binding protein, putative, expressed"
LOC_Os02g43360,Chr2,26163059,26164221,"cytochrome b5-like Heme/Steroid binding domain containing protein, expressed"
LOC_Os11g01290,Chr11,156017,158031,expressed protein
LOC_Os04g02150,Chr4,715761,722261,"tRNA methyltransferase, putative, expressed"
LOC_Os08g03990,Chr8,1914034,1917254,expressed protein
LOC_Os12g17200,Chr12,9844640,9844921,hypothetical protein
LOC_Os03g25680,Chr3,14698093,14698884,expressed protein
LOC_Os07g31130,Chr7,18416297,18420420,"OsWAK72 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK, expressed"
LOC_Os06g16810,Chr6,9734900,9735544,"polygalacturonase precursor, putative, expressed"
LOC_Os05g33280,Chr5,19507483,19509091,"thylakoid lumen protein, putative, expressed"
LOC_Os06g23290,Chr6,13601951,13604917,"phosphatidylinositol 3- and 4-kinase family protein, putative, expressed"
LOC_Os01g22710,Chr1,12758518,12760143,"organic cation transporter-related, putative, expressed"
LOC_Os04g16970,Chr4,9291213,9291999,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os08g02570,Chr8,1062322,1065794,"DUF1517 domain containing protein, putative, expressed"
LOC_Os07g08990,Chr7,4677805,4678069,expressed protein
LOC_Os03g40170,Chr3,22332262,22335094,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os08g01650,Chr8,381307,383986,"Rf1, mitochondrial precursor, putative, expressed"
LOC_Os06g12010,Chr6,6424294,6424808,hypothetical protein
LOC_Os05g51220,Chr5,29379779,29381499,"aspartic proteinase, putative, expressed"
LOC_Os12g41270,Chr12,25592609,25597948,"cysteine-rich receptor-like protein kinase 20 precursor, putative, expressed"
LOC_Os03g16230,Chr3,8949956,8952243,"oxidoreductase, short chain dehydrogenase/reductase family protein, putative, expressed"
LOC_Os02g19110,Chr2,11148747,11149019,expressed protein
LOC_Os02g29320,Chr2,17416383,17419363,expressed protein
LOC_Os08g34210,Chr8,21445787,21450833,"aldehyde dehydrogenase, putative, expressed"
LOC_Os06g11260,Chr6,5905264,5906018,"12-oxophytodienoate reductase 2, putative, expressed"
LOC_Os01g71540,Chr1,41439295,41447524,expressed protein
LOC_Os04g58850,Chr4,35000969,35002146,"harpin-induced protein 1 domain containing protein, expressed"
LOC_Os02g17970,Chr2,10419062,10428060,"AGC_PKA/PKG_like.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
LOC_Os03g21550,Chr3,12315702,12320727,"eukaryotic translation initiation factor 2 subunit beta, putative, expressed"
LOC_Os01g43480,Chr1,24894538,24900026,"AAA-type ATPase family protein, putative, expressed"
LOC_Os04g18710,Chr4,10374993,10375718,"retrotransposon protein, putative, Ty3-gypsy subclass, expressed"
LOC_Os09g24250,Chr9,14394487,14399474,"ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed"
LOC_Os03g51050,Chr3,29185006,29190361,"peptide transporter PTR2, putative, expressed"
LOC_Os06g39912,Chr6,23736833,23737879,expressed protein
LOC_Os12g13940,Chr12,7919477,7920638,"DNA-binding storekeeper protein-related, putative, expressed"
LOC_Os01g68598,Chr1,39845389,39846785,expressed protein
LOC_Os08g35490,Chr8,22362338,22362868,"ctr copper transporter family protein, putative, expressed"
LOC_Os06g05130,Chr6,2274692,2279529,"myristoyl-acyl carrier protein thioesterase, chloroplast precursor, putative, expressed"
LOC_Os05g04100,Chr5,1842852,1843535,expressed protein
LOC_Os02g39640,Chr2,23914443,23916210,expressed protein
LOC_Os09g36290,Chr9,20942490,20945913,"Ser/Thr protein phosphatase family protein, putative, expressed"
LOC_Os07g09040,Chr7,4721767,4727024,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed"
LOC_Os09g13720,Chr9,8026832,8030268,expressed protein
LOC_Os10g36729,Chr10,19665285,19668917,hypothetical protein
LOC_Os12g26410,Chr12,15432948,15434479,hypothetical protein
LOC_Os12g29750,Chr12,17786025,17788513,"protein of unknown function DUF502 domain containing protein, expressed"
LOC_Os04g45950,Chr4,27214090,27218840,"amino acid permease family protein, putative, expressed"
LOC_Os06g46010,Chr6,27882058,27882348,expressed protein
LOC_Os03g18020,Chr3,10028105,10029116,"rhodanese-like family protein, putative, expressed"
LOC_Os09g36580,Chr9,21098267,21101213,"thaumatin, putative, expressed"
LOC_Os11g44660,Chr11,27007529,27009696,"protein kinase, putative, expressed"
LOC_Os05g33010,Chr5,19353553,19357897,"heat shock protein DnaJ, putative, expressed"
LOC_Os12g29340,Chr12,17406189,17413878,expressed protein
LOC_Os09g16250,Chr9,9919343,9919699,expressed protein
LOC_Os02g19160,Chr2,11175850,11176167,hypothetical protein
LOC_Os01g11810,Chr1,6387691,6391467,"powdery mildew resistant protein 5, putative, expressed"
LOC_Os08g02300,Chr8,856109,858607,"no apical meristem protein, putative, expressed"
